player,season,salary
Stephen Curry,2021/22,"$45,780,966"
John Wall,2021/22,"$44,310,840"
James Harden,2021/22,"$44,310,840"
Russell Westbrook,2021/22,"$44,211,146"
Kevin Durant,2021/22,"$42,018,900"
LeBron James,2021/22,"$41,180,544"
Paul George,2021/22,"$39,344,970"
Kawhi Leonard,2021/22,"$39,344,900"
Giannis Antetokounmpo,2021/22,"$39,344,900"
Damian Lillard,2021/22,"$39,344,900"
Klay Thompson,2021/22,"$37,980,720"
Jimmy Butler,2021/22,"$36,016,200"
Tobias Harris,2021/22,"$35,995,950"
Khris Middleton,2021/22,"$35,500,000"
Anthony Davis,2021/22,"$35,361,360"
Kyrie Irving,2021/22,"$35,328,700"
Kemba Walker,2021/22,"$34,967,442"
Rudy Gobert,2021/22,"$34,844,000"
Bradley Beal,2021/22,"$33,724,200"
Ben Simmons,2021/22,"$33,003,936"
Pascal Siakam,2021/22,"$33,003,936"
Jrue Holiday,2021/22,"$32,431,333"
Blake Griffin,2021/22,"$32,405,817"
Karl-Anthony Towns,2021/22,"$31,650,600"
Devin Booker,2021/22,"$31,650,600"
Kristaps Porzingis,2021/22,"$31,650,600"
Nikola Jokic,2021/22,"$31,579,390"
Andrew Wiggins,2021/22,"$31,579,390"
Joel Embiid,2021/22,"$31,579,390"
Kevin Love,2021/22,"$31,258,256"
CJ McCollum,2021/22,"$30,864,198"
Chris Paul,2021/22,"$30,800,000"
D'Angelo Russell,2021/22,"$30,013,500"
Gordon Hayward,2021/22,"$29,925,000"
Jamal Murray,2021/22,"$29,467,800"
Brandon Ingram,2021/22,"$29,467,800"
Jayson Tatum,2021/22,"$28,103,500"
Bam Adebayo,2021/22,"$28,103,500"
De'Aaron Fox,2021/22,"$28,103,500"
Donovan Mitchell,2021/22,"$28,103,500"
Al Horford,2021/22,"$27,000,000"
Kyle Lowry,2021/22,"$26,984,128"
Jaylen Brown,2021/22,"$26,758,928"
DeMar DeRozan,2021/22,"$26,000,000"
Draymond Green,2021/22,"$24,026,712"
Nikola Vucevic,2021/22,"$24,000,000"
Buddy Hield,2021/22,"$23,073,234"
John Collins,2021/22,"$23,000,000"
Julius Randle,2021/22,"$21,780,000"
Malcolm Brogdon,2021/22,"$21,700,000"
Tim Hardaway Jr,2021/22,"$21,306,816"
Mike Conley,2021/22,"$21,000,000"
Gary Harris,2021/22,"$20,932,143"
Danilo Gallinari,2021/22,"$20,475,000"
Harrison Barnes,2021/22,"$20,284,091"
Jerami Grant,2021/22,"$20,002,500"
